"Project name","Tromso herbarium code","BOLD code","Species","Family","NCBI TaxonID","NCBI corrected TaxonID","NCBI TaxonID note","Collection date","Collection month","Sample collector","Country","Sampling location","Sampling latitude","Sampling longitude","Sample age when extracted","Weight of extracted material","Extraction concentration (ng/uL)","library","read_count","Chloroplast length","Chloroplast contigs","Chloroplast coverage","nrDNA length","nrDNA contigs","nrDNA coverage"
"batch01","TROM_V_134558","TROM_V_134558_sg","Schoenus ferrugineus","Cyperaceae",1534592,1534592,,24/07/2010,"July","Brun, Knut; Knutsson, May-June; Dalen, Randi","Norway","Norway, Beiarn, Nordland, Sandmoen o: Bjorkhola.",67.1237,14.4133,8,0.0228,5,"BXA:CAN",13788876,148908,1,216.2,"NA","NA","NA"
"batch01","TROM_V_964767","TROM_V_964767_sg","Scilla luciliae","Hyacinthaceae",1891591,4701,"Used the TaxonID from Scilla",23/05/2008,"May","Alm, Torbjorn","Norway","Norway, Harstad, Troms, Hinnoya: Seljestad, ved Seljestadveien 21, ved en storre utkjorsel og parkeringsplass.",68.7919,16.5305,9,0.0184,35.9,"BXA:ANE",11992116,155545,1,412.7,0,0,1166.6
"batch01","TROM_V_967758","TROM_V_967758_sg","Scilla siberica","Hyacinthaceae",4702,4702,,30/05/2014,"May","Alm, Torbjorn; Gamst, Unni Bjerke","Norway","Norway, Harstad, Troms, Hinnoya: Sorvikmark, ved Storelva.",68.658,16.4827,4,0.0265,76.8,"BXA:ATC",5254758,128850,5,20.2,"NA","NA","NA"
"batch01","TROM_V_92838","TROM_V_92838_sg","Scirpus sylvaticus","Cyperaceae",434052,434052,,10/08/2006,"August","Skoglund, Trond","Norway","Norway, Rodoy: Tjong.",66.6867,13.4687,12,0.0626,23.6,"CDM:AQF",7575626,"NA","NA","NA",7416,1,819.1
"batch01","TROM_V_85767","TROM_V_85767_sg","Scleranthus annuus","Caryophyllaceae",230712,230712,,18/09/1993,"September","Lampinen, Raino","Finland","Finland, Etela-Hame, [Tavastia australis] South Hame (EH/Ta). Hameenlinna: Ylanne, 300 m E-ENE of the main building of the remand home, near the NW corner of Lake Raimalammi, at the foot of the slope of Mielmalanharju esker.",60.9333,24.5333,24,0.0237,31.2,"BXA:CIB",8050788,144037,1,34.8,7862,1,589.2
"batch01","TROM_V_967820","TROM_V_967820_sg","Scorzoneroides autumnalis","Asteraceae",212686,212686,,24/07/2014,"July","Alm, Torbjorn; Gamst, Unni Bjerke","Norway","Norway, Harstad, Troms, Bjarkoy: Meloyvaer: Krottoya, sor for Kollen.",69.054,16.535,4,0.0208,33.2,"BXA:ATS",8019336,152167,1,49,"NA","NA","NA"
"batch01","TROM_V_961992","TROM_V_961992_sg","Scorzoneroides autumnalis","Asteraceae",212686,212686,,20/07/2007,"July","Alm, Torbjorn; Gamst, Unni Bjerke","Norway","Norway, Alta, Finnmark, Langfjorden: Tappeluft, i lia under Storfjellet.",70.0898,22.4797,10,0.0214,16.9,"BXA:BQR",9481450,152167,1,76.9,6840,1,412.2
"batch01","TROM_V_131767","TROM_V_131767_sg","Scorzoneroides autumnalis subsp. autumnalis","Asteraceae",1891592,212686,"Used the TaxonID from S. autumnalis",20/08/2000,"August","Raaum, Trond","Norway","Norway, Sorfold, Nordland, Lakselva.",67.3594,15.5761,18,0.0184,29.17,"BXA:BGD",8223452,152325,1,32.2,"NA","NA","NA"
"batch01","TROM_V_6313","TROM_V_6313_sg","Scrophularia nodosa","Scrophulariaceae",90363,90363,,15/07/1992,"July","Often, Anders","Norway","Norway, Berg, Troms, [Senja:] Berg: SV-vendt skrent under Durmalshogda.",69.4091,17.2105,26,0.0195,9.06,"CDM:AGK",8107142,152417,1,427.8,"NA","NA","NA"
"batch01","TROM_V_96960","TROM_V_96960_sg","Scutellaria galericulata","Lamiaceae",53169,53169,,18/07/2008,"July","osterkloft, Bernt-Gunnar","Norway","Norway, Fauske, Nordland, Nordvika.",67.3283,15.1646,10,0.0209,1.57,"BXA:BQT",7881304,365735,20,23.5,"NA","NA","NA"
"batch01","TROM_V_146613","TROM_V_146613_sg","Sedum acre","Crassulaceae",23028,23028,,24/07/2001,"July","Alm, Torbjorn; Gamst, Unni Bjerke","Norway","Norway, Masoy, Finnmark, Rolvsoya, sorsiden av Kalven, ost for Kalveland.",70.9961,24.1774,16,0.0237,12.1,"BXA:BQV",10650218,135720,48,54.6,8991,1,842.6
"batch01","TROM_V_50869","TROM_V_50869_sg","Sedum anglicum","Crassulaceae",1155362,1155362,,02/04/1996,"April","Engelskjon, Torstein; Vagen, Inger","Norway","Norway, Flekkefjord, Vest-Agder, Hidra, ytterst ved Kalven, mellom kai-omradet og veg til Kalven gard.",58.1993,6.6266,22,0.0284,6.38,"CDM:AGY",9692514,149659,1,437,6179,1,315.5
"batch01","TROM_V_149901","TROM_V_149901_sg","Sedum annuum","Crassulaceae",1239890,1239890,,26/06/2004,"juni","Alm, Torbjorn; Gamst, Unni Bjerke","Norway","Norway, Kvaenangen, Troms, Spildra: Skagedalen.",70.0248,21.5862,12,0.0468,9.4,"BMB:PA",10044594,125083,5,53.9,"NA","NA","NA"
"batch01","TROM_V_133220","TROM_V_133220_sg","Sedum annuum","Crassulaceae",1239890,1239890,,04/07/2005,"July","Skoglund, Trond","Norway","Norway, Meloy, Nordland, Holandsfjorden: Engen.",66.7089,13.7145,13,0.0245,1.43,"BXA:BRA",7420054,150382,1,122.1,"NA","NA","NA"
"batch01","TROM_V_174135","TROM_V_174135_sg","Selaginella selaginoides","Selaginellaceae",69996,69996,,20/07/2007,"juli","Dalen, Lars; Hanssen, Even W.; Utz, Carola","Norway","Norway, Sorfold, Nordland, Sorfold: Veiskivatnet N, Veaikkekcorru.",67.3613,16.0712,9,0.0251,25.8,"BMB:CL",6408800,"NA","NA","NA",6561,1,1174.2
"batch01","TROM_V_135719","TROM_V_135719_sg","Selaginella sibirica","Selaginellaceae",189571,189571,,28/07/1972,"July","Eie, Sigrid","United States","United States, Alaska, Richardson Highway, east of Rainbow Mountain at the radio station.",62.9333,-145.5,45,0.0265,16.2,"BXA:CCN",12328530,"NA","NA","NA",7632,1,961.6
"batch01","TROM_V_968298","TROM_V_968298_sg","Senecio cordatus","Asteraceae",1891593,18794,"Used the TaxonID from Senecio",27/07/2015,"July","Alm, Torbjorn","Norway","Norway, Tromso, Troms, Tromsoya: Gimle, ved veien opp til Langvannet.",69.6876,18.9867,3,0.0206,22.2,"BXA:ATG",8207160,150735,1,81.4,"NA","NA","NA"
"batch01","TROM_V_135958","TROM_V_135958_sg","Senecio lugens","Asteraceae",34231,34231,,28/07/1972,"July","Knaben, Gunvor","United States","United States, Alaska, Seward Peninsula, Nome, below Arctic Creek at Cleveland Creek.",64.5,-165.4,45,0.0225,43.4,"BXA:CKJ",6648772,302626,1,32.8,6978,1,32.5
"batch01","TROM_V_962827","TROM_V_962827_sg","Senecio pseudoarnica","Asteraceae",98725,98725,,22/08/2008,"August","Alm, Torbjorn; Gamst, Unni Bjerke; Often, Anders","Norway","Norway, Tromso, Troms, Kvaloya: Sorfjorden, pa vestsiden, mellom Moen og Sjotun.",69.5891,18.2811,9,0.0236,28.8,"BXA:BRC",9608768,302292,1,21.2,6807,1,70.2
"batch01","TROM_V_84363","TROM_V_84363_sg","Senecio sylvaticus","Asteraceae",121557,121557,,18/08/1997,"August","Sortland, Andy","Norway","Norway, Tromso, Troms, Tromsoya: Hamna, Fredlundtomta til RIMI-butikken.",69.698,18.9725,21,0.0232,6.48,"CDM:AGJ",10572148,151099,1,99.7,"NA","NA","NA"
"batch01","TROM_V_14928","TROM_V_14928_sg","Senecio vernalis","Asteraceae",93496,93496,,01/07/1903,"July","Dahl, Ove","Norway","Norway, Alta, Finnmark, Alten, holme ved Aronnes i Altenelven.",69.959,23.3275,114,0.0239,10.2,"BXA:BRE",9203682,"NA","NA","NA",8875,1,1111.2
"batch01","TROM_V_966095","TROM_V_966095_sg","Senecio viscosus","Asteraceae",85882,85882,,01/08/2010,"August","Gamst, Solveig Bjerke","Norway","Norway, Tromso, Troms, Tromsoya: sentrum, naer Tinghuset, mellom bru-Kjeldsen og almehagen.",69.6553,18.9675,8,0.0265,8.84,"BXA:BRD",7533210,151099,1,107.1,"NA","NA","NA"
"batch01","TROM_V_966209","TROM_V_966209_sg","Senecio vulgaris","Asteraceae",76276,76276,,25/08/2010,"August","Alm, Torbjorn","Norway","Norway, Harstad, Troms, Hinnoya: Kanebogen, ved veien opp til Kanebogasen borettslag fra sorost.",68.7771,16.5604,7,0.024,8.5,"BXA:BRF",9154756,150761,1,241.6,8650,1,1985.3
"batch01","TROM_V_968725","TROM_V_968725_sg","Senecio vulgaris","Asteraceae",76276,76276,,18/08/2016,"August","Alm, Torbjorn","Norway","Norway, Alta, Finnmark, Talvik: like sor for Jansnes.",70.0456,22.9651,2,0.0172,37.4,"CDM:ANP",9201904,150761,1,193.7,10718,1,1241.9
"batch01","TROM_V_965214","TROM_V_965214_sg","Seseli libanotis","Apiaceae",63037,63037,,21/06/2003,"June","Alm, Torbjorn; Berg, Tore; Gamst, Unni Bjerke; Often, Anders","Norway","Norway, Oslo, Oslo fylke, Oslofjorden: Skilpadda.",59.8761,10.7728,15,0.0298,120,"CDM:ABW",15368110,147765,1,248.6,"NA","NA","NA"
"batch01","TROM_V_174508","TROM_V_174508_sg","Sibbaldia procumbens","Rosaceae",57947,57947,,18/08/2007,"August","osterkloft, Bernt-Gunnar","Norway","Norway, Fauske, Nordland, Falkfloget.",67.3947,15.4802,10,0.0204,11.5,"BXA:BRG",8546372,153683,1,160.4,"NA","NA","NA"
"batch01","TROM_V_162387","TROM_V_162387_sg","Silene acaulis","Caryophyllaceae",39862,39862,,25/07/2000,"juli","Alm, Torbjorn; Gamst, Unni Bjerke","Norway","Norway, Alta, Finnmark, Fiskerelva/Oaggujohka, ryggen sor for Rundvannet/ Coagesjavri.",69.87,22.7054,16,0.0147,11.3,"BMB:PD",7354086,128861,20,39,5933,1,222.5
"batch01","TROM_V_134130","TROM_V_134130_sg","Silene acaulis","Caryophyllaceae",39862,39862,,08/06/2009,"June","Skoglund, Trond","Norway","Norway, Meloy, Nordland, Engavagen, Stordalstinden.",66.7918,13.564,8,0.023,16.4,"BXA:BRH",9852048,151998,1,244.9,10265,1,424.1
"batch01","TROM_V_650595","TROM_V_650595_sg","Silene dioica","Caryophyllaceae",39879,39879,,09/06/2003,"June","Skoglund, Trond","Norway","Norway, Sorfold, Nordland, Straumvatnet: Straumvassbotn.",67.3187,15.6994,15,0.0199,14.1,"BXA:ATT",8140952,151760,1,74.4,"NA","NA","NA"
"batch01","TROM_V_966877","TROM_V_966877_sg","Silene dioica","Caryophyllaceae",39879,39879,,23/06/2011,"June","Alm, Torbjorn; Gamst, Unni Bjerke","Norway","Norway, Harstad, Troms, Meloyvaer: Krottoya, i sorvest.",69.0539,16.5187,6,0.0303,116,"BXA:CHW",6256588,151774,1,62.1,7932,1,26.1
"batch01","TROM_V_48518","TROM_V_48518_sg","Silene involucrata subsp. Tenella","Caryophyllaceae",1301456,1301456,,07/08/1967,"August","Borgen, Liv; Engelskjon, Torstein","Norway","Norway, Nordenskiold Land, Svalbard, Advent Bay distrikt: Todalen utlopet, nordostsiden mot veien i Adventdalen.",78.1757,15.9224,51,0.0218,5.84,"CDM:AEG",8283424,149892,1,44.6,"NA","NA","NA"
"batch01","TROM_V_967650","TROM_V_967650_sg","Silene latifolia subsp alba","Caryophyllaceae",52853,52853,,13/08/2011,"August","Gamst, Solveig Bjerke","Norway","Norway, Tromso, Troms, Tonsvika: ved industrianlegget pa vestsiden av Tonsvikelva.",69.7419,19.1754,7,0.0191,24.2,"BXA:ATF",9880434,115206,13,17.5,6206,1,242.5
"batch01","TROM_V_148444","TROM_V_148444_sg","Silene latifolia subsp alba","Caryophyllaceae",52853,52853,,14/07/2002,"July","Gamst, Solveig Bjerke","Norway","Norway, Tromso, Troms, Tromsoya: i sorost, nedenfor Strandveien, litt sor for Tromso stalindustri.",69.6425,18.943,15,0.0406,78,"BXA:ATV",6267018,151768,1,42.4,8180,1,223.1
"batch01","TROM_V_135941","TROM_V_135941_sg","Silene menziesii","Caryophyllaceae",153025,153025,,18/07/1972,"July","Eie, Sigrid; Knaben, Gunvor","United States","United States, Alaska, Alaska Range/Denali Highway, a few km N of Healy.",63.1667,-147.5333,46,0.0311,5.76,"CDM:AHG",9645582,130225,22,38.9,6666,1,384.3
"batch01","TROM_V_965178","TROM_V_965178_sg","Silene nutans","Caryophyllaceae",42038,42038,,21/06/2003,"June","Alm, Torbjorn; Berg, Tore; Gamst, Unni Bjerke; Often, Anders","Norway","Norway, Oslo, Oslo fylke, Oslofjorden: Skilpadda.",59.8761,10.7728,14,0.0231,43.2,"BXA:CHV",8329838,149335,1,61,7285,1,135.5
