DB_ID,SAMPLE_ENA_AC,Sample_ID,Project_name,Submission_Batch_Name,Scientific_Name,Taxon_family,NCBI_ID,Herbarium_voucher,Plant_developmental_stage,Sampling_Collector,Sampling_Organisation,Sampling_date,Sampling_location,Sampling_location_x,Sampling_location_y,Extraction_code,Extract_weight_(mg),Extract_concentration,Sequencing_date,Sequencing_organization,Sequencing_ID
PHA005579,ERS8752054,5579,PhyloAlps,Orthoskim,Lysimachia nummularia L.,Primulaceae,175113,GR003599,living plant material,Stefan Eggenberg,Info Flora,2009-05-25,Canton de Berne (CH). Seeland District. Suberg,7.33318933,47.0637413,05_G12,20,20.24,2014-10-01,Genoscope,BGN_NA
PHA005583,ERS8752064,5583,PhyloAlps,Orthoskim,Lysimachia thyrsiflora L.,Primulaceae,174664,GR004266,living plant material,Stefan Eggenberg,Info Flora,2010-08-22,Kanton Zürich (CH). Bezirk Uster. Riedikon,8.70190685,47.3219545,06_F07,16,6.44,2014-10-01,Genoscope,BGN_PT
PHA005585,ERS8752075,5585,PhyloAlps,Orthoskim,Lysimachia vulgaris L.,Primulaceae,191068,GR001940,living plant material,Sébastien Lavergne,"Laboratoire d'Ecologie Alpine (LECA UMR 5553), Station Alpine Joseph Fourier (UMS 3370)",2009-05-04,Isère (FR). Gières. Campus universitaire. LECA,5.77719387687978,45.1933525663297,04_G11,9,12.68,2014-10-29,Genoscope,BGN_HR
PHA005879,ERS8752085,5879,PhyloAlps,Orthoskim,Moneses uniflora A. Gray,Ericaceae,93817,GR004050,living plant material,Adrian Möhl,Info Flora,2009-08-11,Canton des Grisons (CH). Zernez. Prasüra.,10.1115761232095,46.6895036715627,04_C06,19,20.64,2013,BGI,RSZ:RSZAXPI000854-80
PHA006313,ERS8752091,6313,PhyloAlps,Orthoskim,Orthilia secunda (L.) House,Ericaceae,93819,GR002180,living plant material,"John Spillmann, Linda Feichtinger","Swiss Federal Institute for Forest, Snow and Landscape Research (WSL)",2009-09-15,Canton du Valais (CH). Leuk District. Salgesch,7.579905,46.298289,04_A07,20,42,2013,BGI,RSZ:RSZAXPI000816-86
PHA007171,ERS8752097,7171,PhyloAlps,Orthoskim,Primula albenensis Banfi & Ferl. ,Primulaceae,184170,,living plant material,"Swiss Federal Institute for Forest, Snow and Landscape Research (WSL)","Swiss Federal Institute for Forest, Snow and Landscape Research (WSL)",NA,NA,NA,NA,06_D08,16,5.8,2014-10-01,Genoscope,BGN_QE
PHA007176,ERS8752103,7176,PhyloAlps,Orthoskim,Primula auricula L.,Primulaceae,184173,GR002465,living plant material,Jean-Charles Villaret,Conservatoire Botanique National Alpin (CBNA),2009-06-25,Isère (FR). Saint-Pierre-de-Chartreuse. Charmant Som,5.76240399709551,45.3208589948806,05_E07,19,7.56,2014-11-27,Genoscope,BGN_LF
PHA007194,ERS8752108,7194,PhyloAlps,Orthoskim,Primula elatior (L.) Hill,Primulaceae,1049949,GR002466,living plant material,Jean-Charles Villaret,Conservatoire Botanique National Alpin (CBNA),2010-05-05,Isère (FR). Bressieux.,5.27169,45.32,05_B10,16,13.12,2014-10-01,Genoscope,BGN_ME
PHA007211,ERS8752114,7211,PhyloAlps,Orthoskim,Primula hirsuta All.,Primulaceae,184183,GR001781,living plant material,Rolland Douzet,Station Alpine Joseph Fourier (UMS 3370),NA,Hautes-Alpes (FR). Villar-d'Arène. Pied du Col,6.359453,45.03147,05_B04,19,9.64,2014-10-29,Genoscope,BGN_KD
PHA007216,ERS8752119,7216,PhyloAlps,Orthoskim,Primula integrifolia L.,Primulaceae,175074,GR001530,living plant material,Jean-Charles Villaret,Conservatoire Botanique National Alpin (CBNA),2009-06-13,Isère (FR). Gresse-en-Vercors. Pierre Blanche,5.52213699356716,44.8902249969511,05_F07,17,22.8,2014-11-27,Genoscope,BGN_LG
PHA007223,ERS8752125,7223,PhyloAlps,Orthoskim,Primula latifolia Lapeyr.,Primulaceae,152139,GR002533,living plant material,Sébastien Lavergne,"Laboratoire d'Ecologie Alpine (LECA UMR 5553), Conservatoire Botanique National Méditerranéen (CBNMed)",NA,Bouches-du-Rhône (FR). Tende.,7.56330258781073,44.0895482963967,05_A09,18,13.48,2014-10-01,Genoscope,BGN_LS
PHA007237,ERS8752131,7237,PhyloAlps,Orthoskim,Primula recubariensis Prosser & Scorteg.,Primulaceae,184186,,living plant material,Adrian Möhl,Info Flora,2013-06-13,Vénétie (IT). Recoaro Terme. Rifugio Campogrosso.,11.15374,45.720916,S0406,19,7.98,2016-07-28,Genoscope,BGN_MBL
