"Project_name","Tromso_herbarium_code","BOLD_code","Species","Family","NCBI_TaxonID","NCBI_corrected_TaxonID","NCBI_TaxonID_note","Collection_date","Collection_month","Sample_collector","Sampling_location","Sampling_latitude","Sampling_longitude","Sample_age_when_extracted","Weight_of_extracted_material","Extraction_concentration_(ng/uL)","library","read_count","Chloroplast_length","Chloroplast_contigs","Chloroplast_coverage","nrDNA_length","nrDNA_contigs","nrDNA_coverage","CORRECTION","CORRECTION_COMMENT"
"batch01","TROM_V_960099","NNOR1863-15","Urtica dioica subsp. dioica","Urticaceae",1435599,1435599,"Species corrected from the original Urtica dioica dioica",2004-07-23,"July","Alm, Torbjorn; Gamst, Unni Bjerke","Norway, Hammerfest, Finnmark, Soroya: Akkarfjord, i bebyggelsen.",70.7953,23.4206,12,0.0346,27.7,"BMB:CI",7888020,146894,1,274.6,6676,1,549.2,0,
"batch01","TROM_V_149591","NNOR2011-16","Chamerion angustifolium","Onagraceae",13055,13055,,2004-07-23,"July","Alm, Torbjorn; Gamst, Unni Bjerke","Norway, Hammerfest, Finnmark, Soroya: Akkarfjord, i sorvest.",70.7936,23.4095,12,0.0492,3.6,"BMB:EE",9342008,"NA","NA","NA",7952,1,1070.7,0,
"batch01","TROM_V_960051","NNOR1930-16","Thalictrum alpinum","Ranunculaceae",395328,395328,,2004-07-23,"July","Alm, Torbjorn; Gamst, Unni Bjerke","Norway, Hammerfest, Finnmark, Soroya: Akkarfjorden, pa ostsiden av Eidet.",70.7878,23.3733,12,0.0274,15.9,"BMB:PV",7450542,155329,1,285.1,6857,1,364.4,0,
"batch01","TROM_V_91262","NNOR2053-16","Hieracium sect. oreadea","Asteraceae",1734426,102745,"Used the TaxonID for Hieracium",2004-07-23,"July","Navjord, Inger; Breivik, ase Boilestad; Olsen, Aud Borgso; Skoglund, Toril; Skjerstad, Ragnar","Norway, Hamaroy, Nordland, Kaldvag.",68.0453,15.7465,12,0.0336,49.4,"BMB:IH",7533244,127517,2,65.7,6276,1,232.3,1,"Requested taxonID not active"
"batch01","TROM_V_91306","PNOR823-16","Lycopodium clavatum var. clavatum","Lycopodiaceae",389496,389496,"Used the TaxonID from L. clavatum var. clavatum, synonym of L. clavatum ssp. clavatum",2004-07-24,"July","Simones, Jorunn; Dalen, Lars; Hanssen, Even W.","Norway, Hamaroy, Nordland, Hamaroy: Kvannvatnet.",68.0572,15.9508,13,0.0241,21.6,"BXA:BRK",6799472,151381,78,58.2,6949,1,24,0,
"batch01","TROM_V_960111","NNOR1864-15","Pinus sylvestris","Pinaceae",3349,3349,,2004-07-24,"July","Alm, Torbjorn; Gamst, Unni Bjerke","Norway, Hasvik, Finnmark, Soroya: Finnkonvika, i nordvest.",70.6002,22.0453,12,0.0285,121.9,"BMB:P",15458520,120805,28,31.5,8597,1,104.8,0,
"batch01","TROM_V_91243","PNOR406-16","Nuphar lutea","Nymphaeaceae",77113,77113,,2004-07-25,"July","Ronning, Gunhild; Brun, Knut","Norway, Hamaroy, Nordland, Kulvatnet.",68.1111,15.5948,13,0.0223,75.2,"BXA:BGM",10400990,160696,1,79.4,8444,1,253.8,0,
"batch01","TROM_V_90449","PNOR462-16","Rosa dumalis","Rosaceae",291166,291166,,2004-07-25,"July","Utz, Carola; Gabrielsen, Ingvild; Risdal, Trond; Skoglund, Trond","Norway, Hamaroy, Nordland, Porsneset.",68.1144,15.8258,13,0.0421,23.3,"BXA:AVA",14074100,131280,10,39.5,0,0,1111.8,0,
"batch01","TROM_V_960119","NNOR2014-16","Viscaria alpina","Caryophyllaceae",39927,39927,,2004-07-25,"July","Alm, Torbjorn; Gamst, Unni Bjerke","Norway, Hasvik, Finnmark, Soroya: Flagan.",70.5554,22.2516,12,0.083,21,"BMB:IM",7656230,121476,12,34.1,6532,1,158,0,
"batch01","TROM_V_90473","NNOR2072-16","Euphrasia hyperborea","Orobanchaceae",1734423,46053,"Used the TaxonID from Euphrasia",2004-07-25,"July","Nettelbladt, Mats; Bing, Ted; Bjorklund, Ole Martin","Norway, Tysfjord, Nordland, Hellandsberget sor.",68.0143,16.1661,12,0.0643,69.8,"BMB:IR",5711336,145009,1,57.6,8395,1,815.2,0,
"batch01","TROM_V_200498","PNOR1596-18","Potentilla subvahliana","Rosaceae",654618,654618,,2004-07-26,"July","Westergaard, Kristine","Greenland, Agpat Agpai.",76.0898,-68.3157,14,0.0219,13.8,"CDM:AME",10259944,156243,1,280.3,10071,1,217.1,0,
"batch01","TROM_V_960249","NNOR2015-16","Lotus corniculatus","Fabaceae",47247,47247,,2004-07-26,"July","Alm, Torbjorn; Gamst, Unni Bjerke","Norway, Hasvik, Finnmark, Soroya: Barvika, ost for Haraldseng, naer rv. 884.",70.5683,22.2591,12,0.0217,37.8,"BMB:KK",7840978,126275,7,148.2,8156,1,835.8,0,
